depth,alpha,beta,efficiency,status
0,2.42777777778,0.462,6.39353230407,Normal
1,12.4842355013,0.398506674767,4.98766076969,Normal
2,0.205536646313,0.612798345566,4.47070801221,Normal
3,0.0137098524306,0.658388671875,4.35001501351,Normal
4,-0.109201388889,0.6826875,4.31387936643,Normal
5,-0.169639756944,0.6948046875,4.31186192573,Normal
6,-0.203561231825,0.698855163574,4.30113039235,Normal
7,-0.235139126248,0.70486138916,4.30626313682,Normal
8,-0.255200856262,0.708507160664,4.31186818136,Normal
9,-0.262865410819,0.708331839987,4.31778600741,Normal
