depth,alpha,beta,efficiency,status
0,3.075,0.11,4.57739875994,Normal
1,2.42777777778,0.099,3.47155284077,Normal
2,0.803298611111,0.21346875,2.68771574539,Normal
3,0.345833333333,0.30525,2.26612707033,Normal
4,0.225122070312,0.365368652344,2.17342477102,Normal
5,0.119016520182,0.403321723938,2.17757365753,Normal
6,0.06201171875,0.422594970703,2.20746405065,Normal
7,0.0132937908173,0.442878228307,2.23864316288,Normal
8,-0.0130937576294,0.452276473999,2.26218858695,Normal
9,-0.0272676255968,0.456259643555,2.28098679063,Normal
