depth,alpha,beta,efficiency,status
0,4.1625,0.0165,4.82061687663,Normal
1,2.02083333333,0.0825,3.47960919963,Normal
2,0.661111111111,0.231,2.77175884134,Normal
3,0.413818359375,0.310438476563,2.47937753138,Normal
4,0.318229166667,0.370734375,2.43027983927,Normal
5,0.218813069661,0.409416320801,2.46240184056,Normal
6,0.143050638835,0.436151779175,2.50440569105,Normal
7,0.113026221593,0.450215411186,2.53688717756,Normal
8,0.101176220841,0.4538263309,2.55710622389,Normal
9,0.0910626941257,0.455403499603,2.56916895006,Normal
