depth,alpha,beta,efficiency,status
0,3.15,0.1045,5.29451692883,Normal
1,3.80625,0.1595,3.78023005325,Normal
2,0.697395833333,0.389125,2.70816567085,Normal
3,0.0764322916667,0.5005859375,2.37958785514,Normal
4,-0.116666666667,0.55,2.32337519815,Normal
5,-0.117176649306,0.535256347656,2.32483843434,Normal
6,-0.233184136285,0.569201660156,2.33260171524,Normal
7,-0.260503472222,0.573203125,2.34308824127,Normal
8,-0.287720404731,0.578997192383,2.35394057635,Normal
9,-0.3032113817,0.57994972229,2.36341096614,Normal
