depth,alpha,beta,efficiency,status
0,3.15,0.11,5.1730941704,Normal
1,1.22222222222,0.22,3.46161434978,Normal
2,-0.110416666667,0.4455,2.4798206278,Normal
3,-0.115104166667,0.457875,2.21112107623,Normal
4,-0.247970920139,0.5031640625,2.14179372197,Normal
5,-0.27964070638,0.509475097656,2.14744394619,Normal
6,-0.328548133373,0.532776864052,2.13569506726,Normal
7,-0.345792219374,0.538340026855,2.11596412556,Normal
8,-0.361928304036,0.543486877441,2.11641255605,Normal
9,-0.3779296875,0.555005859375,2.11901345291,Normal
