depth,alpha,beta,efficiency,status
0,3.0,0.22,4.95700080623,Normal
1,0.845833333333,0.297,3.65466272507,Normal
2,0.311458333333,0.37846875,2.82424079549,Normal
3,-0.119444444444,0.495,2.61112604139,Normal
4,-0.111263020833,0.483484375,2.55038968019,Normal
5,-0.11875,0.4675,2.56947057243,Normal
6,-0.113606770833,0.45834765625,2.57914539102,Normal
7,-0.322151692708,0.54883984375,2.57807041118,Maximum number of function evaluations has been exceeded.
8,-0.336458333333,0.56375,2.57269551196,Normal
9,-0.117708333333,0.44275,2.58532652513,Normal
