depth,alpha,beta,efficiency,status
0,57.1659667969,-0.157228027344,3.57727357479,Maximum number of function evaluations has been exceeded.
1,0.100748697917,0.256023925781,2.79122966485,Normal
2,-1.11723216727,3.8116519571,1.52754956572,Maximum number of function evaluations has been exceeded.
3,-0.893051528732,0.953889331346,1.52241819326,Normal
4,-0.618516710069,1.58143798828,1.33291866716,Maximum number of function evaluations has been exceeded.
5,-0.730481460277,0.961102016807,1.39201199521,Normal
6,-0.765035298136,0.957131130219,1.40265541727,Normal
7,-0.834541129983,0.964352703452,1.39245676595,Normal
8,-0.851261896418,0.965679549608,1.40044904365,Normal
9,-0.863802134738,0.965987166123,1.40711380693,Normal
