depth,alpha,beta,efficiency,status
0,24.589453125,-0.26571875,4.67314424704,Maximum number of function evaluations has been exceeded.
1,3.13055555556,0.066,3.52532840934,Normal
2,0.748611111111,0.2145,2.73328896741,Normal
3,0.319152832031,0.291440917969,2.15234537931,Normal
4,0.138984171549,0.361808624268,1.94522605529,Normal
5,0.0545483191808,0.400941427231,1.92195972387,Normal
6,-0.0133558193843,0.429597132921,1.9459524691,Normal
7,-0.0633605957031,0.451326965332,1.98074534744,Normal
8,-0.0971354166667,0.4665546875,2.01133674201,Normal
9,-0.11180589464,0.471875762939,2.03664640519,Normal
