depth,alpha,beta,efficiency,status
0,3.57777777778,0.044,4.53512112414,Normal
1,1.8125,0.0825,3.38398417801,Normal
2,1.11019015842,0.149908569336,2.79812435536,Normal
3,0.614398871528,0.226423828125,2.39650646141,Normal
4,0.377335611979,0.304557128906,2.2816102569,Normal
5,0.263815307617,0.359102348328,2.30407316633,Normal
6,0.177522786458,0.398471374512,2.36545601325,Normal
7,0.123179721832,0.428277455449,2.42398326488,Normal
8,0.100747569899,0.444479212224,2.46629629706,Normal
9,0.0912361396684,0.451234279871,2.49220833394,Normal
