depth,alpha,beta,efficiency,status
0,1.79166666667,0.297,1.21258300599,Normal
1,4.490625,0.2454375,0.853572374984,Normal
2,3.476953125,0.288234375,0.824479361516,Normal
3,1.92610677083,0.3892109375,0.817094556678,Normal
4,1.28715277778,0.446875,0.816457398055,Normal
5,0.843196911282,0.484716033936,0.810839880284,Normal
6,0.564391581217,0.511242523193,0.814608274099,Normal
7,0.369303385417,0.527978515625,0.820707070707,Normal
8,0.228580729167,0.54248046875,0.821593636987,Normal
9,0.138453674316,0.548823394775,0.825907610051,Normal
