depth,alpha,beta,efficiency,status
0,3.15,0.231,5.41406903766,Normal
1,1.57013888889,0.365578125,3.83226987448,Normal
2,0.0582194010417,0.47957421875,3.12460774059,Normal
3,-0.266696209378,0.586897315979,2.8675209205,Normal
4,-0.333518812391,0.619230041504,2.80358263598,Normal
5,-0.36947752436,0.62593667686,2.77479079498,Normal
6,-0.398331165314,0.631458288431,2.76877615063,Normal
7,-0.415097718272,0.639725242052,2.76244769874,Normal
8,-0.441857364194,0.65422599216,2.7629707113,Normal
9,-0.451369216707,0.657539557815,2.76155857741,Normal
