depth,alpha,beta,efficiency,status
0,-1.0,0.0,inf,Maximum number of function evaluations has been exceeded.
1,2.81531982422,0.346991455078,3.70566072847,Normal
2,-0.111111111111,0.66,3.15694381469,Normal
3,2.54756944444,0.32690625,2.92011081378,Normal
4,1.22216627333,0.330013092041,2.81312231189,Normal
5,-0.111111111111,0.55,2.79870184331,Normal
6,-0.111805725098,0.5568699646,2.8312907394,Normal
7,0.775347222222,0.44,2.90879879227,Normal
8,0.333333333333,0.66,2.98014630145,Normal
9,0.777761162652,0.110351303101,3.09113830493,Normal
