depth,alpha,beta,efficiency,status
0,3.45,0.176,3.51116053485,Normal
1,1.5,0.2255,2.2724081567,Normal
2,0.191666666667,0.3898125,1.65765427798,Normal
3,-0.117578125,0.5005859375,1.46027492698,Normal
4,-0.123893229167,0.50853515625,1.4249845923,Normal
5,-0.223638407389,0.542888336182,1.42887001259,Normal
6,-0.262043592665,0.555913574219,1.43412202899,Normal
7,-0.281575690375,0.558256713867,1.43851657333,Normal
8,-0.301321315765,0.5656798172,1.44087462151,Normal
9,-0.305067274306,0.5636640625,1.44250917763,Normal
