depth,alpha,beta,efficiency,status
0,4.246875,0.039875,4.07828774822,Normal
1,3.54184027778,0.034375,3.03717372299,Normal
2,1.40104166667,0.163625,2.4961346322,Normal
3,0.644875611199,0.277451442719,2.28723616835,Normal
4,0.397542317708,0.348336914063,2.22918696141,Normal
5,0.211966832479,0.396371518135,2.21282003247,Normal
6,0.0932291666667,0.42809765625,2.18250905458,Normal
7,0.0299153645833,0.440565307617,2.20215436493,Normal
8,-0.0137005170186,0.456948843002,2.23242787561,Normal
9,-0.0237528483073,0.465586547852,2.2606406894,Normal
