depth,alpha,beta,efficiency,status
0,3.162890625,0.109462890625,2.64968161099,Normal
1,2.36653645833,0.070984375,2.08675609272,Normal
2,1.03107096354,0.150385253906,1.67882987128,Normal
3,0.645578342014,0.228822021484,1.3963555368,Normal
4,0.419635009766,0.310031616211,1.28194385847,Normal
5,0.294842046406,0.369113728895,1.2678092065,Normal
6,0.211325963338,0.405643547058,1.28750351583,Normal
7,0.145063145955,0.431104545593,1.30948466273,Normal
8,0.104578816808,0.443394649103,1.32715530435,Normal
9,0.0764873382118,0.45162086159,1.33956978707,Normal
