depth,alpha,beta,efficiency,status
0,3.225,0.284625,2.2914068026,Normal
1,0.613935343424,0.427090576172,1.62814113875,Normal
2,0.284147135417,0.525830078125,1.376400482,Normal
3,0.130471420288,0.579972801208,1.34329277472,Normal
4,0.0446041790975,0.608925353587,1.36503646288,Normal
5,0.0120969560411,0.619941879272,1.38411786905,Normal
6,-0.00852389865451,0.628409912109,1.39542483435,Normal
7,-0.0139243536525,0.630535685062,1.40116458512,Normal
8,-0.0118740081787,0.630914016724,1.40400352771,Normal
9,-0.0178602430556,0.6324140625,1.40524565102,Normal
