depth,alpha,beta,efficiency,status
0,3.15,0.44,2.35499955612,Normal
1,0.814236111111,0.5121875,1.92155180067,Normal
2,0.566775173611,0.57814453125,1.83043825644,Normal
3,0.361458333333,0.614625,1.83709644009,Normal
4,0.341886393229,0.619297851563,1.84745361465,Normal
5,0.350520833333,0.6249375,1.85131536117,Normal
6,0.351041666667,0.622875,1.85254342615,Normal
7,0.351041666667,0.622875,1.85285414139,Normal
8,0.348958333333,0.622875,1.85292812121,Normal
9,0.333333333333,0.627,1.85298730506,Normal
