depth,alpha,beta,efficiency,status
0,3.15,0.1045,4.4458269596,Normal
1,1.28333333333,0.1045,3.30998718574,Normal
2,0.621538628472,0.161186523438,2.61431284231,Normal
3,0.425895182292,0.216025390625,2.11893689587,Normal
4,0.2796875,0.2738828125,1.87336119315,Normal
5,0.210456547141,0.313283214211,1.81375250334,Normal
6,0.152727246781,0.34537980634,1.82671682376,Normal
7,0.099209121863,0.373066090584,1.8608855587,Normal
8,0.0591220259666,0.392623655364,1.89881057604,Normal
9,0.0327256944444,0.4053671875,1.9314794693,Normal
