depth,alpha,beta,efficiency,status
0,3.1875,0.33825,2.46719511641,Normal
1,0.568359375,0.4997265625,1.74211143259,Normal
2,0.158150227865,0.591478271484,1.54505718566,Normal
3,0.00389268663194,0.635217773438,1.54027967525,Normal
4,-0.067621866862,0.651842651367,1.55778414321,Normal
5,-0.108159722222,0.6620625,1.57161519063,Normal
6,-0.112603081597,0.663416015625,1.58086271726,Normal
7,-0.112603081597,0.663416015625,1.58625315233,Normal
8,-0.110973866781,0.662129974365,1.58904123724,Normal
9,-0.114141167535,0.664221679687,1.59025470425,Normal
