depth,alpha,beta,efficiency,status
0,6.6,-0.005,4.49175578812,Normal
1,1.86458333333,0.07425,3.40898249162,Normal
2,0.86796875,0.141173828125,2.71472384533,Normal
3,0.481889088949,0.210129776001,2.13373415235,Normal
4,0.312109375,0.2762890625,1.89430145278,Normal
5,0.22347056071,0.323146190643,1.84043398377,Normal
6,0.133215053876,0.361388957083,1.85519869784,Normal
7,0.0678757571512,0.388936442614,1.89118256878,Normal
8,0.0255497521824,0.408888138771,1.92947323362,Normal
9,-0.00280552551978,0.420551985174,1.96335377358,Normal
