depth,alpha,beta,efficiency,status
0,3.0,0.11,4.44065876371,Normal
1,2.61872005463,0.0454464187622,3.31846612474,Normal
2,1.22365451389,0.13367578125,2.76174349372,Normal
3,0.691224839952,0.219111755371,2.33275792287,Normal
4,0.437766774495,0.29545765686,2.13448025318,Normal
5,0.307836914063,0.353058105469,2.09988898154,Normal
6,0.208592351278,0.392935927391,2.12494371868,Normal
7,0.140003222724,0.418031512354,2.15611666203,Normal
8,0.0897529564798,0.434805871817,2.18156475887,Normal
9,0.0594263712565,0.443188058853,2.20026153544,Normal
