depth,alpha,beta,efficiency,status
0,3.3158203125,0.2786953125,2.37358499461,Normal
1,0.526276652018,0.428948974609,1.60336274246,Normal
2,0.279428482056,0.525424308777,1.35362001616,Normal
3,0.122488514582,0.580300364494,1.32069369612,Normal
4,0.03843348821,0.608411693573,1.34187567349,Normal
5,0.00728293178707,0.620885245493,1.36053811961,Normal
6,-0.00865838792589,0.627863571167,1.3716251347,Normal
7,-0.0150741577148,0.629765441895,1.37733095366,Normal
8,-0.0177648332384,0.631438705444,1.38019598599,Normal
9,-0.0208129785127,0.632520370424,1.38150053879,Normal
