depth,alpha,beta,efficiency,status
0,-1.0,0.0,inf,Maximum number of function evaluations has been exceeded.
1,0.316666666667,0.484,2.46663629929,Normal
2,-0.532687717014,0.819102539062,1.65217137689,Normal
3,-0.516984727648,0.804354858398,1.54246080642,Normal
4,-0.34294557439,0.825305656672,1.50760211305,Normal
5,-0.395658026801,0.820385559082,1.46648489933,Normal
6,-0.540760059737,0.859084361672,1.48038223574,Normal
7,-0.643654131227,0.886357665062,1.48047727034,Normal
8,-0.659971237183,0.890434020996,1.48755636535,Normal
9,-0.67666485103,0.892365157017,1.49233627831,Normal
