depth,alpha,beta,efficiency,status
0,3.0,0.33,4.30774681455,Normal
1,0.65222913954,0.451005371094,2.87554815383,Normal
2,0.399197404087,0.465401703417,2.42342413039,Normal
3,0.335893885295,0.430581283569,2.11943940662,Normal
4,0.239238230387,0.428022796631,1.98362746466,Normal
5,0.165427907308,0.446799385071,1.96175478981,Normal
6,0.099678084751,0.466043925136,1.98135928199,Normal
7,0.046268822915,0.481704469472,2.00468110584,Normal
8,0.00438395399348,0.49243681536,2.02342413039,Normal
9,-0.0206956822011,0.499654991217,2.03706694103,Normal
