depth,alpha,beta,efficiency,status
0,3.15,0.11,2.71632849447,Normal
1,3.153515625,0.1044140625,2.05047782966,Normal
2,1.47454427083,0.188203125,1.67013638888,Normal
3,0.663617621528,0.296637451172,1.43803757266,Normal
4,0.35859375,0.366609375,1.3809882994,Normal
5,0.264265320698,0.396228766501,1.38933803277,Normal
6,0.194589442015,0.417003825366,1.4089175061,Normal
7,0.135653686523,0.435368019104,1.4256832587,Normal
8,0.116496149699,0.440370437622,1.43842614497,Normal
9,0.0940468629201,0.44433983326,1.44606959102,Normal
