depth,alpha,beta,efficiency,status
0,3.15,0.1045,4.51423686696,Normal
1,1.8125,0.0825,3.44228942062,Normal
2,0.720659722222,0.15571875,2.70203826019,Normal
3,0.381852213542,0.226638671875,2.14139704586,Normal
4,0.24405632019,0.293811836243,1.93504451842,Normal
5,0.161128296951,0.340993524134,1.90633719356,Normal
6,0.0908060524199,0.375490541458,1.94140593092,Normal
7,0.0319115532769,0.406583740234,1.99227860092,Normal
8,0.00278627607558,0.424227384567,2.03811401818,Normal
9,-0.0209365420871,0.436843517303,2.07426329283,Normal
