depth,alpha,beta,efficiency,status
0,3.16875,0.4455,2.96652220703,Normal
1,1.71857638889,0.58265625,2.22987987551,Normal
2,0.343229166667,0.6703125,2.1933916989,Normal
3,-0.00567542711894,0.702076246262,2.18331345801,Normal
4,-0.115277777778,0.7095,2.19299904017,Normal
5,-0.143153211806,0.70627734375,2.20229196358,Normal
6,-0.27890218099,0.732493652344,2.20949070708,Normal
7,-0.293043560452,0.729576644897,2.21657310724,Normal
8,-0.305852071713,0.732780180149,2.22169221372,Normal
9,-0.317440456814,0.734660888672,2.22446991071,Normal
