depth,alpha,beta,efficiency,status
0,3.9,0.044,4.53441322303,Normal
1,2.18368055556,0.092125,3.44169969582,Normal
2,1.01542765299,0.157070251465,2.78099711825,Normal
3,0.5564453125,0.22872265625,2.30402767319,Normal
4,0.358333333333,0.297,2.13052242012,Normal
5,0.245548502604,0.346691345215,2.11186667061,Normal
6,0.16076075236,0.380817764282,2.1488599071,Normal
7,0.0929564158122,0.40896599865,2.19604276196,Normal
8,0.0666764815648,0.42176834482,2.23699080169,Normal
9,0.0458638509115,0.431351028442,2.26829705198,Normal
