depth,alpha,beta,efficiency,status
0,3.01875,0.111375,4.56723453028,Normal
1,3.22439236111,0.06221875,3.55768779316,Normal
2,1.25277777778,0.198,2.83250401617,Normal
3,0.515234375,0.3147890625,2.42876541448,Normal
4,0.239518229167,0.39561328125,2.28346536431,Normal
5,0.111166334152,0.439973836899,2.28185429488,Normal
6,0.0351216846042,0.46640417099,2.30981325404,Normal
7,-0.00769051876333,0.482687996924,2.33972851179,Normal
8,-0.0256230102645,0.487986723185,2.35516715996,Normal
9,-0.0352525499132,0.489642333984,2.36951028092,Normal
