depth,alpha,beta,efficiency,status
0,3.225,0.099,2.65113067274,Normal
1,2.48055555556,0.077,2.0997500985,Normal
2,1.30631510417,0.1654296875,1.77938120576,Normal
3,0.874706919988,0.251637693405,1.56665770605,Normal
4,0.630539279514,0.329681762695,1.50189950745,Normal
5,0.485205745697,0.378267753601,1.51107204474,Normal
6,0.398942057292,0.40377734375,1.53094326795,Normal
7,0.350349934896,0.413896484375,1.54569271929,Normal
8,0.327522786458,0.41864453125,1.55519381234,Normal
9,0.312200784683,0.420894809723,1.56094709399,Normal
