depth,alpha,beta,efficiency,status
0,3.375,0.35475,3.2582256136,Normal
1,4.5046875,0.5960625,2.82606170106,Normal
2,1.24387613932,0.692242675781,2.82297249893,Normal
3,1.10219828288,0.702849243164,2.82820792329,Normal
4,1.06412156423,0.70550315094,2.83042958392,Normal
5,0.992513020833,0.7076953125,2.83139142341,Normal
6,1.01210657756,0.70627835083,2.83184028184,Normal
7,0.996241092682,0.708494808197,2.83195343942,Normal
8,1.03050831954,0.705679358482,2.83197984286,Normal
9,1.02056574821,0.706521623611,2.83198361478,Normal
