depth,alpha,beta,efficiency,status
0,3.16875,0.10278125,4.14313000942,Normal
1,2.61944444444,0.11,2.98202736079,Normal
2,0.913585069444,0.206765625,2.45466536606,Normal
3,0.500653076172,0.27341418457,2.05924688143,Normal
4,0.329052734375,0.306958007812,1.85497794414,Normal
5,0.230917358398,0.328793518066,1.7964818748,Normal
6,0.167992909749,0.349585189819,1.80488496358,Normal
7,0.125037002563,0.369154738426,1.83721072712,Normal
8,0.0935923894246,0.383610224247,1.87302746651,Normal
9,0.0701180173291,0.393096913993,1.90380956042,Normal
