depth,alpha,beta,efficiency,status
0,3.15,0.1045,4.90074197996,Normal
1,2.3,0.11825,3.55289434143,Normal
2,0.592144097222,0.2221484375,2.55932586706,Normal
3,0.197981770833,0.29712890625,1.87634803352,Normal
4,0.0744873046875,0.350442382812,1.64045262326,Normal
5,0.0137955135769,0.382798187256,1.6010440386,Normal
6,-0.046598010593,0.412143829346,1.61500069706,Normal
7,-0.0963758680556,0.435015625,1.6409529563,Normal
8,-0.119574652778,0.44584375,1.66833031275,Normal
9,-0.14514702691,0.456951171875,1.68814690893,Normal
