depth,alpha,beta,efficiency,status
0,3.14721679688,0.313596679687,2.63521276272,Normal
1,0.518916828765,0.474342020094,1.81240030851,Normal
2,0.0707408636808,0.583501636684,1.5751352487,Normal
3,-0.160238986545,0.642581542969,1.52892815578,Normal
4,-0.231294944551,0.6680841465,1.5340934536,Normal
5,-0.259976111187,0.677664157033,1.54500319289,Normal
6,-0.27573583391,0.680872489929,1.55265231201,Normal
7,-0.284314492014,0.682327122688,1.55735733577,Normal
8,-0.290922685608,0.68349707727,1.56024752516,Normal
9,-0.29344104396,0.684353934288,1.56171957284,Normal
