depth,alpha,beta,efficiency,status
0,144.869675446,-0.554183447361,6.11453831516,Maximum number of function evaluations has been exceeded.
1,8.32994842529,0.38044732666,4.01038911824,Normal
2,0.128335571289,0.595456237793,3.36336112365,Normal
3,-0.113741726345,0.637030517578,3.22288831194,Normal
4,-0.192305162218,0.658441040039,3.17097900406,Normal
5,-0.254234282176,0.67386283493,3.15338563504,Normal
6,-0.283604060279,0.677497890472,3.14210959169,Normal
7,-0.312719902562,0.683776729882,3.15164000516,Normal
8,-0.334209957388,0.686642854214,3.15913049087,Normal
9,-0.347384917736,0.68806374979,3.16838676385,Normal
