depth,alpha,beta,efficiency,status
0,175.544687748,-0.680632511139,6.35781891202,Maximum number of function evaluations has been exceeded.
1,18.4687369712,0.311059234232,4.94410594535,Normal
2,0.253096516927,0.600723266602,4.41327820038,Normal
3,0.0580722424719,0.649602574825,4.28764638174,Normal
4,-0.0619411892361,0.671279296875,4.24944012111,Normal
5,-0.114543872409,0.682050521851,4.24725690622,Normal
6,-0.183963190185,0.692035878181,4.23634083175,Normal
7,-0.21181722482,0.697877886772,4.24186142528,Normal
8,-0.234651740392,0.701440275192,4.24753840957,Normal
9,-0.241925435596,0.700854154587,4.25359698729,Normal
