depth,alpha,beta,efficiency,status
0,5.32412109375,-0.0047265625,4.57230963449,Normal
1,2.32222222222,0.1045,3.46656234179,Normal
2,0.802083333333,0.215875,2.6827186713,Normal
3,0.3625,0.30525,2.26111684606,Normal
4,0.22265625,0.3678984375,2.16843427204,Normal
5,0.122496032715,0.403536924362,2.17257658345,Normal
6,0.0625203450521,0.423208282471,2.20246697657,Normal
7,0.0121327718099,0.442322410583,2.2336526639,Normal
8,-0.0141804960039,0.451864536285,2.25719808796,Normal
9,-0.0242734379239,0.454191352844,2.27598971655,Normal
