depth,alpha,beta,efficiency,status
0,7.35,-0.0035625,4.81352303501,Normal
1,2.1328125,0.0804375,3.47258725505,Normal
2,0.661111111111,0.231,2.76474488532,Normal
3,0.424251302083,0.308923828125,2.47236357536,Normal
4,0.31015625,0.3720234375,2.42326588326,Normal
5,0.211740620931,0.414083633423,2.45538788455,Normal
6,0.149343903859,0.434605250359,2.49738374648,Normal
7,0.10679596795,0.451842002869,2.52987322155,Normal
8,0.097458797031,0.455267124176,2.55010025643,Normal
9,0.0910626941257,0.455403499603,2.56215499405,Normal
