depth,alpha,beta,efficiency,status
0,3.3,0.1045,5.25752956956,Normal
1,3.928125,0.14575,3.74328333943,Normal
2,0.686979166667,0.383625,2.67117831159,Normal
3,0.06253106859,0.506048088074,2.34264114132,Normal
4,-0.111111111111,0.55,2.28642848433,Normal
5,-0.119346788194,0.538049316406,2.28785107507,Normal
6,-0.247776624891,0.57629486084,2.29565500142,Normal
7,-0.264633178711,0.574200134277,2.30610088201,Normal
8,-0.293141852485,0.581164093018,2.31699386254,Normal
9,-0.309489949544,0.583008728027,2.32642360688,Normal
