depth,alpha,beta,efficiency,status
0,3.225,0.11825,5.06726457399,Normal
1,1.2375,0.22,3.35587443946,Normal
2,-0.0993055555556,0.4455,2.37399103139,Normal
3,-0.116666666667,0.462,2.10547085202,Normal
4,-0.257584635417,0.5088359375,2.03605381166,Normal
5,-0.301628960503,0.522725585938,2.04170403587,Normal
6,-0.323299789429,0.531602325439,2.03004484305,Normal
7,-0.350569661458,0.54462890625,2.01031390135,Normal
8,-0.368613666958,0.547945913315,2.01067264574,Normal
9,-0.383287217882,0.555158935547,2.0132735426,Normal
