depth,alpha,beta,efficiency,status
0,3.075,0.22,4.76242945445,Normal
1,0.826388888889,0.3031875,3.46036011825,Normal
2,0.308333333333,0.3795,2.62993818866,Normal
3,-0.120486111111,0.4984375,2.4165546896,Normal
4,-0.111111111111,0.484,2.35608707337,Normal
5,-0.113194444444,0.4675,2.3751679656,Normal
6,-0.289019097222,0.54415625,2.37785541521,Normal
7,-0.310416666667,0.5445,2.38376780435,Normal
8,-0.332759602865,0.559249023438,2.37812416017,Normal
9,-0.116666666667,0.44,2.39129266326,Normal
