depth,alpha,beta,efficiency,status
0,81.8564781189,-0.300354337215,3.57513226588,Maximum number of function evaluations has been exceeded.
1,0.125,0.246125,2.789502051,Normal
2,-1.01555621797,3.87441269388,1.52575494492,Maximum number of function evaluations has been exceeded.
3,-0.890627670606,0.953492302163,1.52000691434,Normal
4,-0.617838422197,1.58163853299,1.33056371292,Maximum number of function evaluations has been exceeded.
5,-0.733219881439,0.961500385165,1.38954730496,Normal
6,-0.766064157916,0.957291001558,1.40018684256,Normal
7,-0.834925364302,0.964527940098,1.38999498905,Normal
8,-0.852050092414,0.965755360034,1.39799018008,Normal
9,-0.863245505697,0.965906268019,1.40465882783,Normal
