depth,alpha,beta,efficiency,status
0,19.6038595676,-0.209136165619,4.67103764698,Maximum number of function evaluations has been exceeded.
1,2.93888888889,0.077,3.52321946602,Normal
2,0.748611111111,0.2145,2.73117768082,Normal
3,0.320255533854,0.290973632812,2.15023409271,Normal
4,0.146746571859,0.358245826721,1.9431147687,Normal
5,0.0526980333858,0.401442837715,1.91984843727,Normal
6,-0.0146377470758,0.430280527234,1.94384118251,Normal
7,-0.0644748263889,0.452568359375,1.97863640411,Normal
8,-0.0977159288194,0.466860839844,2.00922779868,Normal
9,-0.11220703125,0.472215820313,2.03453746186,Normal
