depth,alpha,beta,efficiency,status
0,2.81111111111,0.1045,4.53303546043,Normal
1,1.72916666667,0.0825,3.381881912,Normal
2,1.10387912326,0.150965332031,2.79602208936,Normal
3,0.614398871528,0.226423828125,2.3944041954,Normal
4,0.38076578776,0.303985107422,2.27950799089,Normal
5,0.261267089844,0.359989837646,2.30197090032,Normal
6,0.175158691406,0.400041412354,2.36335167196,Normal
7,0.122042020162,0.429091337442,2.42188099888,Normal
8,0.0993572920561,0.444404056907,2.46419403106,Normal
9,0.0897905409336,0.451915783286,2.49010606793,Normal
