depth,alpha,beta,efficiency,status
0,2.55555555556,0.22,1.21203937523,Normal
1,5.7609375,0.15640625,0.847333286569,Normal
2,4.021875,0.243375,0.817692745355,Normal
3,2.15225694444,0.36196875,0.810220258137,Normal
4,1.40913628472,0.426765625,0.809514902107,Normal
5,0.934868706597,0.466270019531,0.803875950867,Normal
6,0.62412109375,0.496235351563,0.807663829655,Normal
7,0.40741780599,0.517384033203,0.81378600823,Normal
8,0.273620605469,0.527991943359,0.814703750468,Normal
9,0.168025716146,0.538586425781,0.81903331151,Normal
