depth,alpha,beta,efficiency,status
0,61.1851947784,-0.153604049683,5.35687761506,Maximum number of function evaluations has been exceeded.
1,1.93958333333,0.342375,3.76294456067,Normal
2,0.0831858317057,0.475919189453,3.05169979079,Normal
3,-0.234700520833,0.57341796875,2.7929916318,Normal
4,-0.326221733623,0.615726215839,2.72756276151,Normal
5,-0.363367801242,0.623490829468,2.69777719665,Normal
6,-0.382862027486,0.623562452793,2.69126569038,Normal
7,-0.411822001139,0.637844867706,2.68376046025,Normal
8,-0.424545001984,0.645339733362,2.68376046025,Normal
9,-0.444753085242,0.653400124311,2.68169456067,Normal
