depth,alpha,beta,efficiency,status
0,53.6580596924,-0.312686279297,5.84390930464,Maximum number of function evaluations has been exceeded.
1,5.02800750732,0.0941692047119,3.98502388996,Normal
2,1.45229848226,0.251089485168,3.23168938594,Normal
3,0.863720703125,0.320557617187,2.9362322791,Normal
4,0.465011914571,0.384458358765,2.81435415853,Normal
5,0.30366414388,0.421464355469,2.81390073413,Normal
6,0.198376933734,0.453692491531,2.85137508158,Normal
7,0.143949680527,0.472249130011,2.88269936914,Normal
8,0.111403377851,0.481832365036,2.90450567567,Normal
9,0.0854201380577,0.488731143698,2.91969408268,Normal
