depth,alpha,beta,efficiency,status
0,3.65625,0.1485,4.79562689247,Normal
1,0.333333333333,0.3135,2.69666925695,Normal
2,0.152836227417,0.330070999146,2.04110506712,Normal
3,0.0325846354167,0.3472734375,1.85999088936,Normal
4,0.00551215277778,0.34478125,1.5867788526,Normal
5,-0.0376320732964,0.361175170898,1.53093598435,Normal
6,-0.119444444444,0.396,1.4525844744,Normal
7,-0.123849826389,0.395484375,1.44141054155,Normal
8,-0.165744357639,0.411734619141,1.43079932474,Normal
9,-0.195042588976,0.429233642578,1.4354886251,Normal
