depth,alpha,beta,efficiency,status
0,23.6822753906,-0.228430603027,4.62151242663,Maximum number of function evaluations has been exceeded.
1,2.69166666667,0.055,3.08468839765,Normal
2,1.03560655382,0.18162890625,2.5705195454,Normal
3,0.522569444444,0.273625,2.33973398277,Normal
4,0.320833333333,0.33825,2.25014986886,Normal
5,0.179459635417,0.381018676758,2.22136255776,Normal
6,0.0684977213542,0.411810150146,2.18517547146,Normal
7,0.0084480603536,0.426151295662,2.20593230923,Normal
8,-0.0357709858153,0.443184064627,2.2354065193,Normal
9,-0.0508083767361,0.45568359375,2.26545522668,Normal
