depth,alpha,beta,efficiency,status
0,2.58151041667,0.1080234375,4.01627775434,Normal
1,0.447222222222,0.1491875,2.4601129614,Normal
2,0.436458333333,0.11859375,2.03979759187,Normal
3,0.273655192057,0.149977722168,1.89303204778,Normal
4,0.24214070638,0.158637939453,1.67210792343,Normal
5,0.246871948242,0.173776031494,1.57594751493,Normal
6,0.198723951976,0.195311274529,1.41407788174,Normal
7,0.195560646057,0.217229019165,1.37600666352,Normal
8,0.146818129222,0.239217018127,1.33140169752,Normal
9,0.135685221354,0.254795288086,1.33929214027,Normal
