depth,alpha,beta,efficiency,status
0,6.45,-0.0025,4.27677353143,Normal
1,3.21041666667,0.05225,2.69561517411,Normal
2,0.170092773438,0.319059082031,2.11765664192,Normal
3,0.182323710124,0.309928894043,1.77906908804,Normal
4,0.0152623133527,0.33310197711,1.63859710868,Normal
5,-0.0401082144843,0.364427871704,1.59563902673,Normal
6,-0.0203553941515,0.376157836914,1.44861754494,Normal
7,-0.0876132541233,0.396596191406,1.44928775536,Normal
8,-0.0971156650119,0.393762771606,1.45969973198,Normal
9,-0.0993489583333,0.40940625,1.45302168663,Normal
