depth,alpha,beta,efficiency,status
0,4.5,0.0165,4.23331755097,Normal
1,1.66666666667,0.209,2.73313999941,Normal
2,0.0661458333333,0.430375,2.28578403811,Normal
3,0.110807291667,0.395371582031,2.07375787885,Normal
4,-0.108940972222,0.4599375,2.02834906637,Normal
5,-0.109651692708,0.44528515625,2.03944603912,Normal
6,-0.100935872396,0.470881103516,1.99613825348,Normal
7,-0.10546875,0.4654375,2.02402864499,Normal
8,-0.115625,0.45925,2.03582102802,Normal
9,-0.118196614583,0.4701640625,2.04631136626,Normal
