depth,alpha,beta,efficiency,status
0,5.3203125,0.004125,4.64105936435,Normal
1,1.34444444444,0.09075,3.33529357692,Normal
2,0.690885416667,0.1398203125,2.65100671668,Normal
3,0.442692057292,0.198751953125,2.14434856667,Normal
4,0.282747395833,0.257780273437,1.88709311196,Normal
5,0.214070638021,0.300158874512,1.8170193141,Normal
6,0.150898790359,0.336304685175,1.82505356297,Normal
7,0.0977051976654,0.36451629281,1.85840284538,Normal
8,0.0559437433879,0.385103561401,1.89691318596,Normal
9,0.0292961478233,0.39793761158,1.93022868461,Normal
