depth,alpha,beta,efficiency,status
0,6.9,-0.0011875,4.58593327582,Normal
1,4.12265625,0.05809375,2.91415752783,Normal
2,0.186911646525,0.348714820862,2.2663766453,Normal
3,0.119278971354,0.370486633301,1.92526446564,Normal
4,0.00798611111111,0.38775,1.76641172853,Normal
5,-0.0542073567708,0.424810546875,1.7497925962,Normal
6,-0.0565025753445,0.432847381592,1.6554476001,Normal
7,-0.095361328125,0.44201953125,1.66023749283,Normal
8,-0.12705078125,0.4495390625,1.6787015903,Normal
9,-0.126719835069,0.45026953125,1.68216451146,Normal
