depth,alpha,beta,efficiency,status
0,5.85,-0.0028125,4.49112161798,Normal
1,1.88541666667,0.06875,3.40834832147,Normal
2,0.884201388889,0.13857421875,2.71408967518,Normal
3,0.484440104167,0.20947265625,2.13309998221,Normal
4,0.312109375,0.2762890625,1.89366728263,Normal
5,0.22065466245,0.324536799073,1.83979893283,Normal
6,0.13544883728,0.361325760841,1.85456452769,Normal
7,0.0676988624864,0.388909891367,1.89054839863,Normal
8,0.0244303458267,0.409197160244,1.92883906347,Normal
9,-0.00216592947642,0.420731012344,1.96271960343,Normal
