depth,alpha,beta,efficiency,status
0,3.8390625,0.0549140625,4.8903713023,Normal
1,1.98852539063,0.072681640625,3.35039002752,Normal
2,0.977777777778,0.143,2.82659908032,Normal
3,0.636534966363,0.208973144531,2.40589113039,Normal
4,0.387063598633,0.28424432373,2.16973389704,Normal
5,0.253971354167,0.344937011719,2.10931417249,Normal
6,0.164350907008,0.385361333907,2.12814423622,Normal
7,0.09796555837,0.412047215223,2.16011283897,Normal
8,0.0462677955627,0.430980871439,2.18929785294,Normal
9,0.0148043851058,0.442140541658,2.21197292645,Normal
