depth,alpha,beta,efficiency,status
0,33.2885737091,-0.322999260545,4.34964978448,Maximum number of function evaluations has been exceeded.
1,2.11111111111,0.1045,2.64880926724,Normal
2,0.165022786458,0.320944335937,2.0793204472,Normal
3,0.176645914714,0.313927001953,1.74712217134,Normal
4,0.0124615705676,0.334065773726,1.60930697737,Normal
5,-0.0408313327365,0.363780151367,1.5671329472,Normal
6,-0.0216765509711,0.376535827637,1.42305024246,Normal
7,-0.0872396334178,0.396182169378,1.42371834591,Normal
8,-0.0977837456597,0.394130859375,1.43394800647,Normal
9,-0.100340101454,0.409140380859,1.42743467134,Normal
