depth,alpha,beta,efficiency,status
0,88.3264308125,-0.341933834672,4.67522152894,Maximum number of function evaluations has been exceeded.
1,0.456331380208,0.229012695312,2.9340492607,Normal
2,-0.725337174204,0.866944843292,1.87480337668,Normal
3,-0.643687407176,0.80979432869,1.66356438758,Normal
4,-0.427392658829,0.810993269447,1.58395291527,Normal
5,-0.427597045898,0.770249084473,1.53634319945,Normal
6,-0.558833281199,0.813328802109,1.52353908872,Normal
7,-0.650334464179,0.8441173172,1.53008795617,Normal
8,-0.666320479165,0.843722049579,1.54592924182,Normal
9,-0.665345516625,0.83763414005,1.55363753146,Normal
