depth,alpha,beta,efficiency,status
0,37.2010437012,-0.218941894531,5.60371907552,Maximum number of function evaluations has been exceeded.
1,2.61944444444,0.099,3.29169049944,Normal
2,0.513151041667,0.241677734375,2.66537795294,Normal
3,0.403259595235,0.267359870911,2.26771123977,Normal
4,0.254616292318,0.315485961914,2.05400506882,Normal
5,0.161748886108,0.366930665016,2.00628138951,Normal
6,0.105250652631,0.398430715621,1.99304489862,Normal
7,0.0462401866913,0.421683755994,2.01764846075,Normal
8,-0.00162482791477,0.438395217896,2.04413248698,Normal
9,-0.0241602579753,0.446881713867,2.06125430153,Normal
