depth,alpha,beta,efficiency,status
0,3.155859375,0.11004296875,4.12148599197,Normal
1,0.445833333333,0.2014375,2.46747763995,Normal
2,0.660161675347,0.19176953125,2.00329143609,Normal
3,0.268229166667,0.2345234375,1.89914948377,Normal
4,0.38779296875,0.200857421875,1.67562211571,Normal
5,0.26846110026,0.221822814941,1.61466426209,Normal
6,0.212754821777,0.234460327148,1.47387308314,Normal
7,0.164038594564,0.257625518799,1.46328791609,Normal
8,0.106789271037,0.270881965637,1.4411827227,Normal
9,0.0967796325684,0.278662246704,1.45495189703,Normal
