depth,alpha,beta,efficiency,status
0,4.93125,0.0055,4.51325091251,Normal
1,1.8125,0.0825,3.44130919847,Normal
2,0.699553765191,0.159439575195,2.70105373882,Normal
3,0.377083333333,0.22825,2.14041109141,Normal
4,0.236623128255,0.294705200195,1.93405856397,Normal
5,0.160489257177,0.341960775375,1.90534980603,Normal
6,0.0892755349477,0.377223117828,1.9404185434,Normal
7,0.0346476236979,0.405829101562,1.9912912134,Normal
8,-0.00116536352369,0.425773614407,2.03712519758,Normal
9,-0.0253373649385,0.438514569998,2.07327303916,Normal
