depth,alpha,beta,efficiency,status
0,46.8530891418,-0.475170928955,5.66827608272,Maximum number of function evaluations has been exceeded.
1,3.2478515625,0.131591796875,3.10492713999,Normal
2,0.65625,0.373828125,2.49680055845,Normal
3,0.212506103516,0.435805175781,2.3726331404,Normal
4,0.214908854167,0.427453125,2.35631598848,Normal
5,0.157307942708,0.452820800781,2.36968092842,Normal
6,0.0530825297038,0.469634170532,2.38644891074,Normal
7,0.0491102430556,0.46986328125,2.39345859632,Normal
8,0.0130612267388,0.479842185974,2.40419126843,Normal
9,-0.0192610210843,0.484920597076,2.41440039557,Normal
