depth,alpha,beta,efficiency,status
0,5.7,0.004125,4.5332149559,Normal
1,2.32222222222,0.088,3.44013099199,Normal
2,1.0137641059,0.158001464844,2.77942667527,Normal
3,0.565104166667,0.22721875,2.30245896935,Normal
4,0.354475911458,0.296774414062,2.12894849886,Normal
5,0.241878255208,0.346947143555,2.11029448849,Normal
6,0.158870283763,0.381543050766,2.14728598584,Normal
7,0.0938292503357,0.408573276758,2.19446884071,Normal
8,0.0626546223958,0.423132751465,2.23541861958,Normal
9,0.0448374430339,0.431237480164,2.26672139159,Normal
