depth,alpha,beta,efficiency,status
0,4.9125,0.022,4.79971184873,Normal
1,2.89097222222,0.066,3.56963732526,Normal
2,1.14774305556,0.1959375,2.87069556772,Normal
3,0.521708170573,0.301052490234,2.47029878433,Normal
4,0.2578125,0.37705078125,2.29865544749,Normal
5,0.121255493164,0.424638965607,2.28457930374,Normal
6,0.0317240105735,0.456832110882,2.30672000074,Normal
7,-0.00744903882345,0.470709490776,2.33672271654,Normal
8,-0.0206597222222,0.47609375,2.35384147997,Normal
9,-0.0413604507844,0.482539911568,2.36961154815,Normal
